group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_3,2,10541576.0,48618
neighbors,nearest_1_hwt_maxerr_3,2,19131839.0,97236
neighbors,nearest_1_hwt_maxerr_3,2,27619289.0,145854
neighbors,nearest_1_hwt_maxerr_3,2,36734525.0,194472
neighbors,nearest_1_hwt_maxerr_3,2,46274956.0,243090
neighbors,nearest_1_hwt_maxerr_3,2,55824098.0,291708
neighbors,nearest_1_hwt_maxerr_3,2,64315558.0,340326
neighbors,nearest_1_hwt_maxerr_3,2,73403438.0,388944
neighbors,nearest_1_hwt_maxerr_3,2,82887607.0,437562
neighbors,nearest_1_hwt_maxerr_3,2,90064090.0,486180
neighbors,nearest_1_hwt_maxerr_3,2,98189138.0,534798
neighbors,nearest_1_hwt_maxerr_3,2,107212355.0,583416
neighbors,nearest_1_hwt_maxerr_3,2,118532322.0,632034
neighbors,nearest_1_hwt_maxerr_3,2,125143449.0,680652
neighbors,nearest_1_hwt_maxerr_3,2,133875377.0,729270
neighbors,nearest_1_hwt_maxerr_3,2,143482262.0,777888
neighbors,nearest_1_hwt_maxerr_3,2,152690123.0,826506
neighbors,nearest_1_hwt_maxerr_3,2,164670322.0,875124
neighbors,nearest_1_hwt_maxerr_3,2,171885542.0,923742
neighbors,nearest_1_hwt_maxerr_3,2,180000941.0,972360
neighbors,nearest_1_hwt_maxerr_3,2,187309112.0,1020978
neighbors,nearest_1_hwt_maxerr_3,2,196746347.0,1069596
neighbors,nearest_1_hwt_maxerr_3,2,205507014.0,1118214
neighbors,nearest_1_hwt_maxerr_3,2,215272756.0,1166832
neighbors,nearest_1_hwt_maxerr_3,2,225527713.0,1215450
neighbors,nearest_1_hwt_maxerr_3,2,234439199.0,1264068
neighbors,nearest_1_hwt_maxerr_3,2,245522824.0,1312686
neighbors,nearest_1_hwt_maxerr_3,2,251157064.0,1361304
neighbors,nearest_1_hwt_maxerr_3,2,260678477.0,1409922
neighbors,nearest_1_hwt_maxerr_3,2,268908790.0,1458540
neighbors,nearest_1_hwt_maxerr_3,2,276816397.0,1507158
neighbors,nearest_1_hwt_maxerr_3,2,291950137.0,1555776
