group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_10,16,9557442.0,113842
neighbors,nearest_1_hwt_maxerr_10,16,18877973.0,227684
neighbors,nearest_1_hwt_maxerr_10,16,27804563.0,341526
neighbors,nearest_1_hwt_maxerr_10,16,37101616.0,455368
neighbors,nearest_1_hwt_maxerr_10,16,46395647.0,569210
neighbors,nearest_1_hwt_maxerr_10,16,55683419.0,683052
neighbors,nearest_1_hwt_maxerr_10,16,64982724.0,796894
neighbors,nearest_1_hwt_maxerr_10,16,74188579.0,910736
neighbors,nearest_1_hwt_maxerr_10,16,83432075.0,1024578
neighbors,nearest_1_hwt_maxerr_10,16,91518324.0,1138420
neighbors,nearest_1_hwt_maxerr_10,16,100121266.0,1252262
neighbors,nearest_1_hwt_maxerr_10,16,108933958.0,1366104
neighbors,nearest_1_hwt_maxerr_10,16,122009320.0,1479946
neighbors,nearest_1_hwt_maxerr_10,16,129035016.0,1593788
neighbors,nearest_1_hwt_maxerr_10,16,137917920.0,1707630
neighbors,nearest_1_hwt_maxerr_10,16,148133166.0,1821472
neighbors,nearest_1_hwt_maxerr_10,16,157798931.0,1935314
neighbors,nearest_1_hwt_maxerr_10,16,165859897.0,2049156
neighbors,nearest_1_hwt_maxerr_10,16,175191428.0,2162998
neighbors,nearest_1_hwt_maxerr_10,16,185887226.0,2276840
neighbors,nearest_1_hwt_maxerr_10,16,194534001.0,2390682
neighbors,nearest_1_hwt_maxerr_10,16,203216811.0,2504524
neighbors,nearest_1_hwt_maxerr_10,16,212618021.0,2618366
neighbors,nearest_1_hwt_maxerr_10,16,222084062.0,2732208
neighbors,nearest_1_hwt_maxerr_10,16,231873946.0,2846050
neighbors,nearest_1_hwt_maxerr_10,16,237414470.0,2959892
neighbors,nearest_1_hwt_maxerr_10,16,249300273.0,3073734
neighbors,nearest_1_hwt_maxerr_10,16,257648057.0,3187576
neighbors,nearest_1_hwt_maxerr_10,16,269294054.0,3301418
neighbors,nearest_1_hwt_maxerr_10,16,278843663.0,3415260
neighbors,nearest_1_hwt_maxerr_10,16,286233701.0,3529102
neighbors,nearest_1_hwt_maxerr_10,16,296277824.0,3642944
