group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_0,4194304,12387450.0,2
neighbors,nearest_1_hwt_maxerr_0,4194304,20279669.0,4
neighbors,nearest_1_hwt_maxerr_0,4194304,28247026.0,6
neighbors,nearest_1_hwt_maxerr_0,4194304,34923315.0,8
neighbors,nearest_1_hwt_maxerr_0,4194304,45699359.0,10
neighbors,nearest_1_hwt_maxerr_0,4194304,55947890.0,12
neighbors,nearest_1_hwt_maxerr_0,4194304,66612280.0,14
neighbors,nearest_1_hwt_maxerr_0,4194304,77105546.0,16
neighbors,nearest_1_hwt_maxerr_0,4194304,87135834.0,18
neighbors,nearest_1_hwt_maxerr_0,4194304,98592185.0,20
neighbors,nearest_1_hwt_maxerr_0,4194304,107502824.0,22
neighbors,nearest_1_hwt_maxerr_0,4194304,117301444.0,24
neighbors,nearest_1_hwt_maxerr_0,4194304,127207786.0,26
neighbors,nearest_1_hwt_maxerr_0,4194304,133898192.0,28
neighbors,nearest_1_hwt_maxerr_0,4194304,144407977.0,30
neighbors,nearest_1_hwt_maxerr_0,4194304,154849677.0,32
neighbors,nearest_1_hwt_maxerr_0,4194304,165573817.0,34
neighbors,nearest_1_hwt_maxerr_0,4194304,169557991.0,36
neighbors,nearest_1_hwt_maxerr_0,4194304,179006709.0,38
neighbors,nearest_1_hwt_maxerr_0,4194304,185380986.0,40
neighbors,nearest_1_hwt_maxerr_0,4194304,194542468.0,42
neighbors,nearest_1_hwt_maxerr_0,4194304,204537382.0,44
neighbors,nearest_1_hwt_maxerr_0,4194304,214614795.0,46
neighbors,nearest_1_hwt_maxerr_0,4194304,219474387.0,48
neighbors,nearest_1_hwt_maxerr_0,4194304,228334406.0,50
neighbors,nearest_1_hwt_maxerr_0,4194304,236965647.0,52
neighbors,nearest_1_hwt_maxerr_0,4194304,246713215.0,54
neighbors,nearest_1_hwt_maxerr_0,4194304,254507166.0,56
neighbors,nearest_1_hwt_maxerr_0,4194304,258344458.0,58
neighbors,nearest_1_hwt_maxerr_0,4194304,271118619.0,60
neighbors,nearest_1_hwt_maxerr_0,4194304,282396909.0,62
neighbors,nearest_1_hwt_maxerr_0,4194304,289872053.0,64
